h,school,wt,lambda1,lambda2,lambda3,lambda4,lambda5,tau1,tau2,tau3,tau4,tau5
83,A287,1.5179225502115892,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
84,A287,1.5179225502115892,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
85,A287,1.5179225502115892,-0.09175507779653422,-0.13073657147259288,0.2906968951849954,-0.4079444054851432,-0.2182331301171604,-0.44118303956340854,5.482928951801319,3.5085138491272927,-1.639443490339978,-0.9768179933858033
86,A287,1.5179225502115892,-0.005081347279826069,-0.07468352928737049,-0.17630522729558443,-1.0119472567599044,0.005157401865678896,-0.3038770893900479,-1.5487435207411027,-2.870731141183077,5.683106282845942,-0.8806651027890461
87,A287,1.5179225502115892,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
88,A287,1.5179225502115892,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
89,A287,1.5179225502115892,-0.005081347279826069,-0.07468352928737049,-0.17630522729558443,-1.0119472567599044,0.005157401865678896,-0.3038770893900479,-1.5487435207411027,-2.870731141183077,5.683106282845942,-0.8806651027890461
90,A287,1.5179225502115892,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
91,A287,1.5179225502115892,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
92,A287,1.5179225502115892,-0.04778240830569395,-0.3059576827749372,0.06355835606523826,-0.2090858253332769,-0.12689530674949165,-0.3805446318593964,-1.6907719320281593,3.5791589061393756,5.516239593861579,-0.9413280043515326
93,A29,1.5065095987062394,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
94,A29,1.5065095987062394,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
95,A29,1.5065095987062394,0.022318518135196627,-0.011971926461818624,-0.45805428163863365,0.017172424780391625,0.03334858851208204,-0.2827987179604541,-1.5279980998000022,3.7297598264226046,-1.4790478511571163,-0.8728453525216341
96,A29,1.5065095987062394,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
97,A29,1.5065095987062394,-0.08784754689794898,-0.38179031817788495,-0.6893869134010836,-0.24763030178464485,-0.4434038574251444,-0.40660574775398,-1.7117749204598405,-3.0164908676033084,5.513797580256298,6.81880497010419
